Nationalitätszeichen,Unterscheidungszeichen,StadtOderKreis,Herleitung,HerleitungMarkiert,Bundesland.Iso3166-2,Bundesland.Name,Fußnoten,Bemerkung
D,EU,Euskirchen,Euskirchen,EUskirchen,DE-NW,Nordrhein-Westfalen,,
D,EW,Barnim,Eberswalde,EbersWalde,DE-BB,Brandenburg,,
D,F,Stadt Frankfurt am Main,Frankfurt,Frankfurt,DE-HE,Hessen,,
D,FB,Wetteraukreis in Friedberg Hessen,Friedberg,FriedBerg,DE-HE,Hessen,,
D,FD,Fulda,Fulda,FulDa,DE-HE,Hessen,,
D,FDB,Aichach-Friedberg,Friedberg,FrieDBerg,DE-BY,Bayern,,
D,FDS,Freudenstadt,Freudenstadt,FreuDenStadt,DE-BW,Baden-Württemberg,,
D,FEU,Ansbach,Feuchtwangen,FEUchtwangen,DE-BY,Bayern,,
D,FF,Stadt Frankfurt (Oder),Frankfurt,FrankFurt,DE-BB,Brandenburg,,
D,FFB,Fürstenfeldbruck,Fürstenfeldbruck,FürstenFeldBruck,DE-BY,Bayern,,
D,FG,Mittelsachsen,Freiberg,FreiberG,DE-SN,Sachsen,,
D,FI,Elbe-Elster,Finsterwalde,FInsterwalde,DE-BB,Brandenburg,,
D,FKB,Waldeck-Frankenberg,Frankenberg,FranKenBerg,DE-HE,Hessen,,
D,FL,Flensburg,Flensburg,FLensburg,DE-SH,Schleswig-Holstein,,
D,FLÖ,Mittelsachsen,Flöha,FLÖha,DE-SN,Sachsen,,
D,FN,Bodenseekreis,Friedrichshafen,FriedrichshafeN,DE-BW,Baden-Württemberg,,
D,FO,Forchheim,Forchheim,FOrchheim,DE-BY,Bayern,,
D,FOR,Spree-Neiße,Forst,FORst,DE-BB,Brandenburg,,
D,FR,"Stadt Freiburg im Breisgau, Breisgau-Hochschwarzwald",Freiburg,FReiburg,DE-BW,Baden-Württemberg,"3,3",
D,FRG,Freyung-Grafenau,"Freyung, Grafenau","FReyung, Grafenau",DE-BY,Bayern,,
D,FRI,Friesland,Friesland,FRIesland,DE-NI,Niedersachsen,,
D,FRW,Märkisch-Oderland,Freienwalde,FReienWalde,DE-BB,Brandenburg,,
D,FS,"Freising, Moosburg",Freising,FreiSing,DE-BY,Bayern,"3,3",
D,FT,Stadt Frankenthal (Pfalz),Frankenthal,FrankenThal,DE-RP,Rheinland-Pfalz,,"auslaufend Kreis, Abwicklung: Zulassungsbehörde Bad Dürkheim und Rhein-Pfalz-Kreis"
D,FTL,Sächsische Schweiz-Osterzgebirge,Freital,FreiTaL,DE-SN,Sachsen,,
D,FW,Oder-Spree,Fürstenwalde,FürstenWalde,DE-BB,Brandenburg,,
D,FZ,Schwalm-Eder-Kreis,Fritzlar,FritZlar,DE-HE,Hessen,,
D,FÜ,Fürth,Fürth,FÜrth,DE-BY,Bayern,1,
D,FÜS,Ostallgäu,Füssen,FÜSsen,DE-BY,Bayern,,
D,G,Stadt Gera,Gera,Gera,DE-TH,Thüringen,,"auslaufend Kreis, Abwicklung: Zulassungsbehörde Greiz"
D,GA,Altmarkkreis Salzwedel,Gardelegen,GArdelegen,DE-ST,Sachsen-Anhalt,,
D,GAN,Northeim,Gandersheim,GANdersheim,DE-NI,Niedersachsen,,
D,GAP,Garmisch-Partenkirchen,Garmisch-Partenkirchen,GArmisch-Partenkirchen,DE-BY,Bayern,,
D,GC,Zwickau,Glauchau,GlauChau,DE-SN,Sachsen,,
D,GD,Ostalbkreis,Gmünd,GmünD,DE-BW,Baden-Württemberg,,
D,GDB,Nordwestmecklenburg,Gadebusch,GaDeBusch,DE-MV,Mecklenburg-Vorpommern,,
D,GE,Stadt Gelsenkirchen,Gelsenkirchen,GElsenkirchen,DE-NW,Nordrhein-Westfalen,,
D,GEL,Kleve,Geldern,GELdern,DE-NW,Nordrhein-Westfalen,,
D,GEO,"Haßberge, Schweinfurt",Gerolzhofen,GErOlzhofen,DE-BY,Bayern,"3,3",
D,GER,Germersheim,Germersheim,GERmersheim,DE-RP,Rheinland-Pfalz,,
D,GF,Gifhorn,Gifhorn,GiFhorn,DE-NI,Niedersachsen,,
D,GG,Groß-Gerau,Groß-Gerau,Groß-Gerau,DE-HE,Hessen,,
D,GHA,Leipzig,Geithain,GeitHAin,DE-SN,Sachsen,,
D,GHC,Wittenberg,Gräfenhainichen,GräfenHainiChen,DE-ST,Sachsen-Anhalt,,
D,GI,Gießen,Gießen,GIeßen,DE-HE,Hessen,,
D,GK,Heinsberg,Geilenkirchen,GeilenKirchen,DE-NW,Nordrhein-Westfalen,,
D,GL,Rheinisch-Bergischer Kreis,Gladbach,GLadbach,DE-NW,Nordrhein-Westfalen,,
D,GLA,Recklinghausen,Gladbeck,GLAdbeck,DE-NW,Nordrhein-Westfalen,,
D,GM,Oberbergischer Kreis,Gummersbach,GumMersbach,DE-NW,Nordrhein-Westfalen,,
D,GMN,Vorpommern-Rügen,Grimmen,GrimMeN,DE-MV,Mecklenburg-Vorpommern,,
D,GN,Main-Kinzig-Kreis,Gelnhausen,GelnhauseN,DE-HE,Hessen,,
D,GNT,Jerichower Land,Genthin,GeNThin,DE-ST,Sachsen-Anhalt,,
D,GOA,Rhein-Hunsrück-Kreis,Sankt Goar,Sankt GOAr,DE-RP,Rheinland-Pfalz,,
D,GOH,Rhein-Lahn-Kreis,Sankt Goarshausen,Sankt GOarsHausen,DE-RP,Rheinland-Pfalz,,
D,GP,Göppingen,Göppingen,GöpPingen,DE-BW,Baden-Württemberg,,
D,GR,Görlitz,Görlitz,GöRlitz,DE-SN,Sachsen,,
D,GRA,Freyung-Grafenau,Grafenau,GRAfenau,DE-BY,Bayern,,
D,GRH,Meißen,Großenhain,GRoßenHain,DE-SN,Sachsen,,
D,GRI,Rottal-Inn,Griesbach,GRIesbach,DE-BY,Bayern,,
D,GRM,Leipzig,Grimma,GRimMa,DE-SN,Sachsen,,
D,GRZ,Greiz,Greiz,GReiZ,DE-TH,Thüringen,,
D,GS,Goslar,Goslar,GoSlar,DE-NI,Niedersachsen,,
D,GT,Gütersloh,Gütersloh,GüTersloh,DE-NW,Nordrhein-Westfalen,,
D,GTH,Gotha,Gotha,GoTHa,DE-TH,Thüringen,,
D,GUB,Spree-Neiße,Guben,GUBen,DE-BB,Brandenburg,,
D,GUN,Weißenburg-Gunzenhausen,Gunzenhausen,GUNzenhausen,DE-BY,Bayern,,
D,GV,Rhein-Kreis Neuss,Grevenbroich,GreVenbroich,DE-NW,Nordrhein-Westfalen,,
D,GVM,Nordwestmecklenburg,Grevesmühlen,GreVesMühlen,DE-MV,Mecklenburg-Vorpommern,,
D,GW,Vorpommern-Greifswald,Greifswald,GreifsWald,DE-MV,Mecklenburg-Vorpommern,,
D,GZ,Günzburg,Günzburg,GünZburg,DE-BY,Bayern,,
D,GÖ,Göttingen,Göttingen,GÖttingen,DE-NI,Niedersachsen,1,
D,GÜ,Landkreis Rostock,Güstrow,GÜstrow,DE-MV,Mecklenburg-Vorpommern,,
D,H,Hannover,Hannover,Hannover,DE-NI,Niedersachsen,1,
D,HA,Stadt Hagen,Hagen,HAgen,DE-NW,Nordrhein-Westfalen,,
D,HAB,Bad Kissingen,Hammelburg,HAmmelBurg,DE-BY,Bayern,,
D,HAL,Stadt Halle,Halle,HALle,DE-ST,Sachsen-Anhalt,,
D,HAM,Stadt Hamm,Hamm,HAMm,DE-NW,Nordrhein-Westfalen,,
D,HAS,Haßberge,Hassfurt,HASsfurt,DE-BY,Bayern,,
D,HB,Freie Hansestadt Bremen,Hansestadt Bremen,Hansestadt Bremen,DE-HB,Bremen,1,
D,HBN,Hildburghausen,Hildburghausen,HildBurghauseN,DE-TH,Thüringen,,
D,HBS,Harz,Halberstadt,HalBerStadt,DE-ST,Sachsen-Anhalt,,
D,HC,Mittelsachsen,Hainichen,HainiChen,DE-SN,Sachsen,,
D,HCH,"Freudenstadt, Zollernalbkreis",Hechingen,HeCHingen,DE-BW,Baden-Württemberg,"3,3",
D,HD,"Stadt Heidelberg, Rhein-Neckar-Kreis",Heidelberg,HeiDelberg,DE-BW,Baden-Württemberg,"3,3",
D,HDH,Heidenheim,Heidenheim,HeiDenHeim,DE-BW,Baden-Württemberg,,
D,HDL,Börde,Haldensleben,HalDensLeben,DE-ST,Sachsen-Anhalt,,
D,HE,Helmstedt,Helmstedt,HElmstedt,DE-NI,Niedersachsen,,
D,HEB,Nürnberger Land,Hersbruck,HErsBruck,DE-BY,Bayern,,
D,HEF,Hersfeld-Rotenburg,Hersfeld,HErsFeld,DE-HE,Hessen,,
D,HEI,Dithmarschen,Heide,HEIde,DE-SH,Schleswig-Holstein,,
D,HER,Stadt Herne,Herne,HERne,DE-NW,Nordrhein-Westfalen,,
D,HET,Mansfeld-Südharz,Hettstedt,HETtstedt,DE-ST,Sachsen-Anhalt,,
D,HF,Herford,Herford,HerFord,DE-NW,Nordrhein-Westfalen,,
D,HG,Hochtaunuskreis,Homburg,HomburG,DE-HE,Hessen,,
D,HGN,Ludwigslust-Parchim,Hagenow,HaGeNow,DE-MV,Mecklenburg-Vorpommern,,
D,HGW,Hansestadt Greifswald,Hansestadt Greifswald,Hansestadt GreifsWald,DE-MV,Mecklenburg-Vorpommern,,
D,HH,Freie und Hansestadt Hamburg,Hansestadt Hamburg,Hansestadt Hamburg,DE-HH,Hamburg,,
D,HHM,Burgenlandkreis,Hohenmölsen,HoHenMölsen,DE-ST,Sachsen-Anhalt,,
D,HI,Hildesheim,Hildesheim,HIldesheim,DE-NI,Niedersachsen,,
D,HIG,Eichsfeld,Heiligenstadt,HeilIGenstadt,DE-TH,Thüringen,,
D,HIP,Roth,Hilpoltstein,HIlPoltstein,DE-BY,Bayern,,
D,HK,Heidekreis,Heidekreis,HeideKreis,DE-NI,Niedersachsen,,
D,HL,Hansestadt Lübeck,Hansestadt Lübeck,Hansestadt Lübeck,DE-SH,Schleswig-Holstein,,
D,HM,Hameln-Pyrmont,Hameln,HaMeln,DE-NI,Niedersachsen,,
D,HMÜ,Göttingen,Hann. Münden,Hann. MÜnden,DE-NI,Niedersachsen,,
D,HN,Heilbronn,Heilbronn,HeilbronN,DE-BW,Baden-Württemberg,1,
D,HO,Hof,Hof,HOf,DE-BY,Bayern,1,
D,HOG,Kassel,Hofgeismar,HOfGeismar,DE-HE,Hessen,,
D,HOH,Haßberge,Hofheim,HOfHeim,DE-BY,Bayern,,
D,HOL,Holzminden,Holzminden,HOLzminden,DE-NI,Niedersachsen,,
D,HOM,Saarpfalz-Kreis außer Stadt St. Ingbert (IGB),Homburg,HOMburg,DE-SL,Saarland,,
D,HOR,Freudenstadt,Horb,HORb,DE-BW,Baden-Württemberg,,
D,HOT,Zwickau,Hohenstein,HOhensTein,DE-SN,Sachsen,,
D,HP,Bergstraße,Heppenheim,HepPenheim,DE-HE,Hessen,,
D,HR,Schwalm-Eder-Kreis,Homberg,HombeRg,DE-HE,Hessen,,
D,HRO,Hansestadt Rostock,Hansestadt Rostock,Hansestadt ROstock,DE-MV,Mecklenburg-Vorpommern,,
D,HS,Heinsberg,Heinsberg,HeinSberg,DE-NW,Nordrhein-Westfalen,,
D,HSK,Hochsauerlandkreis,Hochsauerlandkreis,HochSauerlandKreis,DE-NW,Nordrhein-Westfalen,,
D,HST,Hansestadt Stralsund,Hansestadt Stralsund,Hansestadt STralsund,DE-MV,Mecklenburg-Vorpommern,1,"auslaufend Kreis, Abwicklung: Zulassungsbehörde Vorpommern-Rügen"
D,HU,"Hanau, Main-Kinzig-Kreis",Hanau,HanaU,DE-HE,Hessen,"2,2",
D,HV,Stendal,Havelberg,HaVelberg,DE-ST,Sachsen-Anhalt,,
D,HVL,Havelland,Havelland,HaVelLand,DE-BB,Brandenburg,,
D,HWI,Hansestadt Wismar,Hansestadt Wismar,Hansestadt WIsmar,DE-MV,Mecklenburg-Vorpommern,,
D,HX,Höxter,Höxter,HöXter,DE-NW,Nordrhein-Westfalen,,
D,HY,Bautzen,Hoyerswerda,HoYerswerda,DE-SN,Sachsen,,
D,HZ,Harz,Harz,HarZ,DE-ST,Sachsen-Anhalt,,
D,HÖS,Erlangen-Höchstadt,Höchstadt,HÖchStadt,DE-BY,Bayern,,
